"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10078,1,3,0,1,1,0,1,12,2,1,4,3,9,19,5,2,12,9,13
10079,1,3,0,0,1,0,1,10,2,1,3,3,14,16,5,2,15,8,6
10080,1,3,0,1,1,0,1,8,1,2,3,0,8,10,9,1,8,2,5
10081,1,3,0,0,1,0,1,7,2,1,4,1,6,14,4,1,7,9,9
10082,1,3,0,1,1,0,1,8,2,2,2,1,3,13,1,1,16,10,8
10085,2,5,0,0,1,0,1,13,3,4,18,16,19,20,6,8,15,14,17
10086,2,3,0,0,0,0,1,11,3,3,5,1,14,16,4,3,15,9,13
10087,2,3,0,0,1,0,1,11,4,3,9,5,14,16,7,2,15,13,18
10088,2,3,0,0,0,0,1,11,3,3,4,0,12,17,4,2,13,12,12
10091,2,3,0,0,1,0,1,11,2,3,4,2,11,18,4,3,13,11,20
10092,2,3,0,1,0,0,1,8,2,4,0,0,7,14,4,0,2,6,8
10093,2,5,0,1,1,0,1,13,2,3,8,6,20,19,5,7,21,13,21
10094,2,5,0,0,1,0,1,14,3,4,11,3,15,21,7,3,15,14,18
10095,2,3,0,1,0,0,1,10,3,4,3,0,2,15,5,1,15,6,11
10096,2,3,1,1,0,0,1,8,3,2,2,0,15,16,4,2,12,6,10
10098,2,5,0,1,0,0,1,13,3,4,9,6,13,18,4,3,10,10,17
10099,2,3,0,1,0,0,1,15,3,5,12,8,18,16,8,6,17,15,17
10100,2,3,0,1,1,0,1,13,3,2,7,3,15,17,4,3,16,11,21
10101,2,3,0,1,1,0,1,12,2,5,4,0,9,15,6,2,18,11,15
10102,2,3,0,1,1,0,1,8,2,2,3,0,5,10,4,0,9,6,7
10103,2,3,0,1,1,0,1,14,2,3,6,5,13,20,4,2,12,15,18
10104,2,5,0,0,1,0,1,12,2,4,4,1,14,17,6,3,13,11,11
10105,2,3,0,1,1,0,1,11,4,1,2,0,9,15,6,3,10,11,13
10106,2,3,0,1,0,0,1,12,3,5,11,5,19,16,9,3,15,14,16
10107,2,3,0,0,1,0,1,12,3,3,12,6,16,14,10,4,28,16,8
10108,2,5,0,1,0,0,1,16,2,4,9,6,18,20,6,6,16,17,25
10109,2,3,0,1,1,0,1,12,3,3,5,5,7,16,5,1,13,10,14
10110,2,3,0,1,0,0,1,10,2,3,8,0,11,18,5,3,16,10,15
10111,2,3,0,0,0,0,1,13,3,3,7,5,16,14,4,3,17,15,21
10112,2,5,0,1,0,0,1,14,3,3,9,7,14,23,4,3,14,16,21
10113,2,3,0,0,1,0,1,13,2,3,8,7,15,16,8,3,22,15,19
10114,2,3,0,1,1,0,1,10,3,3,7,0,11,14,9,2,16,14,11
10115,2,3,0,1,0,0,1,10,3,4,10,6,19,15,7,4,13,13,14
10116,2,3,0,1,1,0,1,14,3,1,3,2,8,15,8,1,11,15,15
10117,2,3,0,1,1,0,1,13,2,1,8,7,9,15,4,1,14,11,10
10119,2,3,0,0,1,0,1,14,3,4,7,2,11,14,9,1,16,12,12
10120,2,5,0,0,0,0,1,14,3,5,9,6,11,16,6,2,19,16,16
10121,2,3,0,0,1,0,1,7,1,3,4,0,3,12,7,0,4,7,10
10122,2,3,0,1,1,0,1,12,2,3,2,0,6,14,5,2,14,14,19
10123,2,3,0,0,0,0,1,15,2,4,12,6,16,18,7,6,16,14,22
10124,2,5,0,0,0,0,1,14,3,5,3,3,11,18,6,2,25,16,16
10125,2,3,0,0,1,0,1,12,3,1,4,1,13,13,4,3,11,5,4
10126,2,3,0,0,1,0,1,12,2,3,5,5,12,17,7,3,16,12,13
10127,2,3,0,1,0,0,1,10,3,2,8,5,19,15,8,3,11,10,10
10128,2,5,0,0,0,0,1,15,3,5,11,7,17,16,9,6,14,13,23
10129,2,3,0,1,1,0,1,15,3,4,14,5,15,18,8,3,16,15,13
10130,2,3,0,1,1,0,1,12,3,3,3,2,12,16,4,3,16,11,20
10132,2,3,0,0,0,0,1,9,2,4,3,1,13,15,7,2,14,11,13
10134,2,5,0,0,0,0,1,12,2,3,8,2,7,17,7,3,15,12,13
10135,2,3,0,0,0,0,1,15,4,2,8,2,13,19,7,3,13,14,15
10137,2,3,0,1,0,0,1,13,3,5,13,8,15,16,6,6,13,14,21
10138,2,3,0,1,0,0,1,14,2,3,6,3,11,19,7,3,13,11,18
10139,2,3,0,1,0,0,1,9,2,4,3,1,13,13,4,3,9,6,9
10140,2,3,0,1,1,0,1,15,4,3,10,13,30,18,20,13,15,14,16
10141,2,5,0,1,0,0,1,15,3,2,8,8,13,24,6,3,16,18,19
10143,2,3,0,1,1,0,1,12,3,5,6,3,4,18,3,1,12,14,18
10144,2,5,0,0,0,0,1,15,4,3,10,5,20,18,11,6,16,12,16
10146,2,5,0,0,0,0,1,14,3,4,6,4,11,16,5,3,14,13,19
10148,2,3,0,1,1,0,1,13,2,4,3,5,13,18,4,3,15,13,14
10149,2,3,0,1,1,0,1,10,1,1,3,3,6,13,8,2,12,6,9
10152,2,3,0,1,1,0,1,16,3,3,9,5,15,21,4,3,19,14,17
10153,2,3,0,0,1,0,1,12,2,4,11,0,15,18,5,6,13,2,14
10154,2,3,0,0,1,0,1,12,3,4,3,3,10,18,0,2,16,11,12
10156,2,3,0,1,1,0,1,10,3,2,3,0,7,17,8,2,10,4,9
10157,2,3,0,0,0,0,1,13,3,3,2,2,16,16,9,3,13,13,13
10158,2,3,0,1,1,0,1,15,2,4,11,8,22,19,5,5,16,16,21
10163,3,5,0,1,0,0,1,13,2,5,9,7,13,15,4,3,17,13,15
10164,3,4,0,1,0,0,1,10,1,4,5,3,14,15,4,1,14,12,15
10165,3,5,0,1,0,0,1,16,2,4,10,8,21,19,9,6,18,15,21
10166,3,5,0,0,0,0,1,14,3,4,8,8,19,20,9,3,17,22,21
10167,3,5,0,1,0,0,1,14,3,4,5,1,14,18,4,2,16,14,15
10168,3,5,0,1,0,0,1,12,3,4,10,4,14,19,4,3,13,15,17
10169,3,2,0,1,0,0,1,13,3,4,8,1,13,19,4,3,17,16,18
10170,3,5,0,0,0,0,1,16,4,5,12,6,19,17,9,3,20,14,18
10171,3,5,0,0,0,0,1,14,2,4,6,1,13,17,4,3,14,13,17
10172,3,5,0,1,0,0,1,16,2,4,12,8,13,18,4,7,17,17,15
10174,3,5,0,0,0,0,1,15,3,4,3,4,16,19,6,3,25,17,16
10177,3,5,0,1,0,0,1,12,3,4,10,7,18,20,7,5,15,12,15
10178,3,5,0,1,0,0,1,14,3,4,7,5,13,20,4,3,18,11,18
10179,3,5,0,1,0,0,1,15,3,4,10,3,13,19,7,2,17,16,17
10180,3,5,0,0,0,0,1,15,3,4,6,3,13,18,5,3,15,12,17
10181,3,5,0,1,0,0,1,14,3,4,9,8,14,23,8,3,22,20,19
